收入金額,付款金額,費用類型,付款人資訊,收款人資訊,交易日期,公司金鑰,備註,帳戶,幣別
313,,Rent,John Smith,Water Company,2025-03-04,6225,辦公室租金,歐元帳戶,EUR
,412,Rent,David Lee,Electric Company,2025-01-09,6224,辦公室租金,日幣帳戶,TWD
326,,Advertising,Mary Chen,Gas Company,2025-01-21,6225,廣告費,歐元帳戶,EUR
480,,Utilities,John Smith,Water Company,2025-01-04,6225,水電費,日幣帳戶,TWD
321,,Utilities,David Lee,Electric Company,2025-04-15,6224,水電費,日幣帳戶,TWD
193,,Utilities,Mary Chen,Gas Company,2025-02-19,6224,水電費,臺幣帳戶1,TWD
,560,Rent,John Smith,Water Company,2025-01-09,6224,辦公室租金,美金帳戶,USD
,309,Rent,David Lee,Electric Company,2025-04-18,6224,辦公室租金,港幣帳戶,HKD
548,,Materials,Mary Chen,Gas Company,2025-04-21,6224,材料費,港幣帳戶,HKD
732,,Advertising,John Smith,Water Company,2025-01-11,6224,廣告費,歐元帳戶,EUR
,463,Utilities,David Lee,Electric Company,2025-01-02,6224,水電費,港幣帳戶,HKD
,770,Salaries,Mary Chen,Gas Company,2025-03-13,6224,薪資,歐元帳戶,EUR
,399,Rent,John Smith,Water Company,2025-02-18,6224,辦公室租金,日幣帳戶,TWD
390,,Rent,David Lee,Electric Company,2025-03-21,6226,辦公室租金,歐元帳戶,EUR
470,,Utilities,Mary Chen,Gas Company,2025-03-19,6224,水電費,臺幣帳戶2,TWD
694,,Materials,John Smith,Water Company,2025-02-13,6224,材料費,美金帳戶,USD
,609,Utilities,David Lee,Electric Company,2025-01-01,6224,水電費,歐元帳戶,EUR
361,,Materials,Mary Chen,Gas Company,2025-03-07,6224,材料費,臺幣帳戶2,TWD
857,,Rent,John Smith,Water Company,2025-02-05,6224,辦公室租金,臺幣帳戶1,TWD
,404,Utilities,David Lee,Electric Company,2025-04-21,6224,水電費,港幣帳戶,HKD
