付款金額,費用類型,付款人資訊,收款人資訊,交易日期,公司金鑰,付款備註
933,Water Bill,John Smith,Water Company,2025-03-17,6225,材料費
889,Electricity Bill,David Lee,Electric Company,2025-04-04,6226,辦公室租金
935,Gas Bill,Mary Chen,Gas Company,2025-02-19,6224,廣告費
455,Water Bill,John Smith,Water Company,2025-04-02,6226,水電費
958,Electricity Bill,David Lee,Electric Company,2025-04-05,6226,薪資
875,Gas Bill,Mary Chen,Gas Company,2025-04-10,6225,材料費
270,Water Bill,John Smith,Water Company,2025-02-01,6225,辦公室租金
470,Electricity Bill,David Lee,Electric Company,2025-01-17,6225,廣告費
965,Gas Bill,Mary Chen,Gas Company,2025-01-07,6226,水電費
762,Water Bill,John Smith,Water Company,2025-01-14,6224,薪資
305,Electricity Bill,David Lee,Electric Company,2025-01-15,6224,材料費
170,Gas Bill,Mary Chen,Gas Company,2025-02-16,6225,辦公室租金
105,Water Bill,John Smith,Water Company,2025-01-08,6225,廣告費
678,Electricity Bill,David Lee,Electric Company,2025-04-02,6224,水電費
594,Gas Bill,Mary Chen,Gas Company,2025-04-09,6224,薪資
831,Water Bill,John Smith,Water Company,2025-04-09,6224,材料費
653,Electricity Bill,David Lee,Electric Company,2025-04-12,6224,辦公室租金
700,Gas Bill,Mary Chen,Gas Company,2025-01-03,6226,廣告費
479,Water Bill,John Smith,Water Company,2025-04-05,6224,水電費
139,Electricity Bill,David Lee,Electric Company,2025-04-19,6225,薪資
